ID,domain,sub_competency,difficulty,q_type,Question,Option A,Option B,Option C,Option D,Answer,Teaching Explanation,Story (Why),Implementation (How),Reflection / Considerations,Child Impact Story,Science Behind It,Practical Application Strategy,Why Behind It,resources
722,Teaching Strategies,scaffolding,3,mcq,What is the best practice for scaffolding?,"Follow the proper steps for scaffolding, ensuring consistency and safety.",Try a random approach to scaffolding without preparation.,Skip scaffolding and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for scaffolding, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for scaffolding? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for scaffolding in a short role-play and have teachers practice.,Consider how this scaffolding strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for scaffolding, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for scaffolding in a short role-play and have teachers practice.,"• Supports skill-building just above current ability
• Boosts confidence through guided success
• Promotes independence by gradually removing support","[""scaffolding_video"", ""scaffolding_quiz""]"
723,Social-Emotional Development,serve-and-return,4,mcq,What is the best practice for serve-and-return?,"Follow the proper steps for serve-and-return, ensuring consistency and safety.",Try a random approach to serve-and-return without preparation.,Skip serve-and-return and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for serve-and-return, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for serve-and-return? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for serve-and-return in a short role-play and have teachers practice.,Consider how this serve-and-return strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for serve-and-return, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for serve-and-return in a short role-play and have teachers practice.,"• Builds neural pathways through responsive interaction
• Strengthens social and language skills
• Reinforces emotional security through engagement","[""serve-and-return_video"", ""serve-and-return_quiz""]"
724,Social-Emotional Development,attachment building,2,mcq,What is the best practice for attachment building?,"Follow the proper steps for attachment building, ensuring consistency and safety.",Try a random approach to attachment building without preparation.,Skip attachment building and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for attachment building, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for attachment building? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for attachment building in a short role-play and have teachers practice.,Consider how this attachment building strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for attachment building, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for attachment building in a short role-play and have teachers practice.,"• Creates a secure emotional foundation
• Encourages exploration knowing safety is available
• Builds trust and healthy caregiver-child bonds","[""attachment_building_video"", ""attachment_building_quiz""]"
725,Health & Safety,diapering safety,2,mcq,What is the best practice for diapering safety?,"Follow the proper steps for diapering safety, ensuring consistency and safety.",Try a random approach to diapering safety without preparation.,Skip diapering safety and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for diapering safety, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for diapering safety? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for diapering safety in a short role-play and have teachers practice.,Consider how this diapering safety strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for diapering safety, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for diapering safety in a short role-play and have teachers practice.,"• Prevents accidents by ensuring hands stay on the child
• Maintains hygiene and prevents diaper-area rashes
• Allows caregiver to focus fully on the child without distraction","[""diapering_safety_video"", ""diapering_safety_quiz""]"
726,Physical Development,gross motor skills,1,mcq,What is the best practice for gross motor skills?,"Follow the proper steps for gross motor skills, ensuring consistency and safety.",Try a random approach to gross motor skills without preparation.,Skip gross motor skills and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for gross motor skills? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,Consider how this gross motor skills strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,"• Enhances overall physical health
• Improves balance and coordination
• Supports cognitive development through movement","[""gross_motor_skills_video"", ""gross_motor_skills_quiz""]"
727,Physical Development,gross motor skills,1,mcq,What is the best practice for gross motor skills?,"Follow the proper steps for gross motor skills, ensuring consistency and safety.",Try a random approach to gross motor skills without preparation.,Skip gross motor skills and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for gross motor skills? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,Consider how this gross motor skills strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,"• Enhances overall physical health
• Improves balance and coordination
• Supports cognitive development through movement","[""gross_motor_skills_video"", ""gross_motor_skills_quiz""]"
728,Teaching Strategies,scaffolding,2,mcq,What is the best practice for scaffolding?,"Follow the proper steps for scaffolding, ensuring consistency and safety.",Try a random approach to scaffolding without preparation.,Skip scaffolding and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for scaffolding, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for scaffolding? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for scaffolding in a short role-play and have teachers practice.,Consider how this scaffolding strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for scaffolding, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for scaffolding in a short role-play and have teachers practice.,"• Supports skill-building just above current ability
• Boosts confidence through guided success
• Promotes independence by gradually removing support","[""scaffolding_video"", ""scaffolding_quiz""]"
729,Health & Safety,diapering safety,3,mcq,What is the best practice for diapering safety?,"Follow the proper steps for diapering safety, ensuring consistency and safety.",Try a random approach to diapering safety without preparation.,Skip diapering safety and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for diapering safety, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for diapering safety? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for diapering safety in a short role-play and have teachers practice.,Consider how this diapering safety strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for diapering safety, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for diapering safety in a short role-play and have teachers practice.,"• Prevents accidents by ensuring hands stay on the child
• Maintains hygiene and prevents diaper-area rashes
• Allows caregiver to focus fully on the child without distraction","[""diapering_safety_video"", ""diapering_safety_quiz""]"
730,Language & Literacy,emergent literacy,3,mcq,What is the best practice for emergent literacy?,"Follow the proper steps for emergent literacy, ensuring consistency and safety.",Try a random approach to emergent literacy without preparation.,Skip emergent literacy and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for emergent literacy, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for emergent literacy? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for emergent literacy in a short role-play and have teachers practice.,Consider how this emergent literacy strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for emergent literacy, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for emergent literacy in a short role-play and have teachers practice.,"• Embeds literacy in meaningful, playful contexts
• Fosters awareness of symbols and text
• Encourages creative expression with language","[""emergent_literacy_video"", ""emergent_literacy_quiz""]"
731,Social-Emotional Development,serve-and-return,2,mcq,What is the best practice for serve-and-return?,"Follow the proper steps for serve-and-return, ensuring consistency and safety.",Try a random approach to serve-and-return without preparation.,Skip serve-and-return and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for serve-and-return, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for serve-and-return? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for serve-and-return in a short role-play and have teachers practice.,Consider how this serve-and-return strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for serve-and-return, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for serve-and-return in a short role-play and have teachers practice.,"• Builds neural pathways through responsive interaction
• Strengthens social and language skills
• Reinforces emotional security through engagement","[""serve-and-return_video"", ""serve-and-return_quiz""]"
732,Health & Safety,handwashing,2,mcq,What is the best practice for handwashing?,"Follow the proper steps for handwashing, ensuring consistency and safety.",Try a random approach to handwashing without preparation.,Skip handwashing and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for handwashing, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for handwashing? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for handwashing in a short role-play and have teachers practice.,Consider how this handwashing strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for handwashing, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for handwashing in a short role-play and have teachers practice.,"• Removes harmful germs effectively
• Cuts illness transmission by at least 50%
• Establishes lifelong hygiene habits","[""handwashing_video"", ""handwashing_quiz""]"
733,Social-Emotional Development,serve-and-return,2,mcq,What is the best practice for serve-and-return?,"Follow the proper steps for serve-and-return, ensuring consistency and safety.",Try a random approach to serve-and-return without preparation.,Skip serve-and-return and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for serve-and-return, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for serve-and-return? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for serve-and-return in a short role-play and have teachers practice.,Consider how this serve-and-return strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for serve-and-return, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for serve-and-return in a short role-play and have teachers practice.,"• Builds neural pathways through responsive interaction
• Strengthens social and language skills
• Reinforces emotional security through engagement","[""serve-and-return_video"", ""serve-and-return_quiz""]"
734,Inclusion,inclusive play,3,mcq,What is the best practice for inclusive play?,"Follow the proper steps for inclusive play, ensuring consistency and safety.",Try a random approach to inclusive play without preparation.,Skip inclusive play and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for inclusive play, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for inclusive play? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for inclusive play in a short role-play and have teachers practice.,Consider how this inclusive play strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for inclusive play, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for inclusive play in a short role-play and have teachers practice.,"• Ensures every child can participate fully
• Builds empathy and social cohesion
• Adapts environment to diverse needs and abilities","[""inclusive_play_video"", ""inclusive_play_quiz""]"
735,Social-Emotional Development,trauma-informed care,1,mcq,What is the best practice for trauma-informed care?,"Follow the proper steps for trauma-informed care, ensuring consistency and safety.",Try a random approach to trauma-informed care without preparation.,Skip trauma-informed care and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for trauma-informed care, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for trauma-informed care? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for trauma-informed care in a short role-play and have teachers practice.,Consider how this trauma-informed care strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for trauma-informed care, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for trauma-informed care in a short role-play and have teachers practice.,"• Validates children’s feelings and experiences
• Builds safety and trust in the environment
• Reduces risk of re-traumatization","[""trauma-informed_care_video"", ""trauma-informed_care_quiz""]"
736,Curriculum,developmentally appropriate practice,3,mcq,What is the best practice for developmentally appropriate practice?,"Follow the proper steps for developmentally appropriate practice, ensuring consistency and safety.",Try a random approach to developmentally appropriate practice without preparation.,Skip developmentally appropriate practice and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for developmentally appropriate practice, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for developmentally appropriate practice? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for developmentally appropriate practice in a short role-play and have teachers practice.,Consider how this developmentally appropriate practice strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for developmentally appropriate practice, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for developmentally appropriate practice in a short role-play and have teachers practice.,"• Matches activities to each child’s abilities
• Prevents frustration or boredom
• Promotes optimal learning outcomes","[""developmentally_appropriate_practice_video"", ""developmentally_appropriate_practice_quiz""]"
737,Guidance & Discipline,positive reinforcement,1,mcq,What is the best practice for positive reinforcement?,"Follow the proper steps for positive reinforcement, ensuring consistency and safety.",Try a random approach to positive reinforcement without preparation.,Skip positive reinforcement and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for positive reinforcement, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for positive reinforcement? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for positive reinforcement in a short role-play and have teachers practice.,Consider how this positive reinforcement strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for positive reinforcement, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for positive reinforcement in a short role-play and have teachers practice.,"• Increases desired behaviors via rewards
• Builds self-esteem and motivation
• Encourages repetition and mastery of skills","[""positive_reinforcement_video"", ""positive_reinforcement_quiz""]"
738,Physical Development,gross motor skills,5,mcq,What is the best practice for gross motor skills?,"Follow the proper steps for gross motor skills, ensuring consistency and safety.",Try a random approach to gross motor skills without preparation.,Skip gross motor skills and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for gross motor skills? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,Consider how this gross motor skills strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,"• Enhances overall physical health
• Improves balance and coordination
• Supports cognitive development through movement","[""gross_motor_skills_video"", ""gross_motor_skills_quiz""]"
739,Classroom Management,transitions,1,mcq,What is the best practice for transitions?,"Follow the proper steps for transitions, ensuring consistency and safety.",Try a random approach to transitions without preparation.,Skip transitions and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for transitions, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for transitions? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for transitions in a short role-play and have teachers practice.,Consider how this transitions strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for transitions, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for transitions in a short role-play and have teachers practice.,"• Prepares emotions for upcoming change
• Reduces tantrums and resistance
• Builds predictability and self-regulation skills","[""transitions_video"", ""transitions_quiz""]"
740,Language & Literacy,emergent literacy,1,mcq,What is the best practice for emergent literacy?,"Follow the proper steps for emergent literacy, ensuring consistency and safety.",Try a random approach to emergent literacy without preparation.,Skip emergent literacy and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for emergent literacy, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for emergent literacy? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for emergent literacy in a short role-play and have teachers practice.,Consider how this emergent literacy strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for emergent literacy, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for emergent literacy in a short role-play and have teachers practice.,"• Embeds literacy in meaningful, playful contexts
• Fosters awareness of symbols and text
• Encourages creative expression with language","[""emergent_literacy_video"", ""emergent_literacy_quiz""]"
741,Curriculum,developmentally appropriate practice,2,mcq,What is the best practice for developmentally appropriate practice?,"Follow the proper steps for developmentally appropriate practice, ensuring consistency and safety.",Try a random approach to developmentally appropriate practice without preparation.,Skip developmentally appropriate practice and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for developmentally appropriate practice, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for developmentally appropriate practice? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for developmentally appropriate practice in a short role-play and have teachers practice.,Consider how this developmentally appropriate practice strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for developmentally appropriate practice, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for developmentally appropriate practice in a short role-play and have teachers practice.,"• Matches activities to each child’s abilities
• Prevents frustration or boredom
• Promotes optimal learning outcomes","[""developmentally_appropriate_practice_video"", ""developmentally_appropriate_practice_quiz""]"
742,Assessment,observation techniques,5,mcq,What is the best practice for observation techniques?,"Follow the proper steps for observation techniques, ensuring consistency and safety.",Try a random approach to observation techniques without preparation.,Skip observation techniques and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for observation techniques, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for observation techniques? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for observation techniques in a short role-play and have teachers practice.,Consider how this observation techniques strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for observation techniques, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for observation techniques in a short role-play and have teachers practice.,"• Gathers accurate data on child behavior
• Informs targeted lesson planning
• Tracks developmental progress over time","[""observation_techniques_video"", ""observation_techniques_quiz""]"
743,Assessment,observation techniques,1,mcq,What is the best practice for observation techniques?,"Follow the proper steps for observation techniques, ensuring consistency and safety.",Try a random approach to observation techniques without preparation.,Skip observation techniques and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for observation techniques, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for observation techniques? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for observation techniques in a short role-play and have teachers practice.,Consider how this observation techniques strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for observation techniques, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for observation techniques in a short role-play and have teachers practice.,"• Gathers accurate data on child behavior
• Informs targeted lesson planning
• Tracks developmental progress over time","[""observation_techniques_video"", ""observation_techniques_quiz""]"
744,Guidance & Discipline,positive reinforcement,2,mcq,What is the best practice for positive reinforcement?,"Follow the proper steps for positive reinforcement, ensuring consistency and safety.",Try a random approach to positive reinforcement without preparation.,Skip positive reinforcement and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for positive reinforcement, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for positive reinforcement? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for positive reinforcement in a short role-play and have teachers practice.,Consider how this positive reinforcement strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for positive reinforcement, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for positive reinforcement in a short role-play and have teachers practice.,"• Increases desired behaviors via rewards
• Builds self-esteem and motivation
• Encourages repetition and mastery of skills","[""positive_reinforcement_video"", ""positive_reinforcement_quiz""]"
745,Teaching Strategies,scaffolding,2,mcq,What is the best practice for scaffolding?,"Follow the proper steps for scaffolding, ensuring consistency and safety.",Try a random approach to scaffolding without preparation.,Skip scaffolding and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for scaffolding, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for scaffolding? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for scaffolding in a short role-play and have teachers practice.,Consider how this scaffolding strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for scaffolding, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for scaffolding in a short role-play and have teachers practice.,"• Supports skill-building just above current ability
• Boosts confidence through guided success
• Promotes independence by gradually removing support","[""scaffolding_video"", ""scaffolding_quiz""]"
746,Guidance & Discipline,positive reinforcement,3,mcq,What is the best practice for positive reinforcement?,"Follow the proper steps for positive reinforcement, ensuring consistency and safety.",Try a random approach to positive reinforcement without preparation.,Skip positive reinforcement and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for positive reinforcement, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for positive reinforcement? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for positive reinforcement in a short role-play and have teachers practice.,Consider how this positive reinforcement strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for positive reinforcement, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for positive reinforcement in a short role-play and have teachers practice.,"• Increases desired behaviors via rewards
• Builds self-esteem and motivation
• Encourages repetition and mastery of skills","[""positive_reinforcement_video"", ""positive_reinforcement_quiz""]"
747,Health & Safety,handwashing,3,mcq,What is the best practice for handwashing?,"Follow the proper steps for handwashing, ensuring consistency and safety.",Try a random approach to handwashing without preparation.,Skip handwashing and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for handwashing, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for handwashing? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for handwashing in a short role-play and have teachers practice.,Consider how this handwashing strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for handwashing, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for handwashing in a short role-play and have teachers practice.,"• Removes harmful germs effectively
• Cuts illness transmission by at least 50%
• Establishes lifelong hygiene habits","[""handwashing_video"", ""handwashing_quiz""]"
748,Inclusion,inclusive play,5,mcq,What is the best practice for inclusive play?,"Follow the proper steps for inclusive play, ensuring consistency and safety.",Try a random approach to inclusive play without preparation.,Skip inclusive play and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for inclusive play, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for inclusive play? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for inclusive play in a short role-play and have teachers practice.,Consider how this inclusive play strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for inclusive play, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for inclusive play in a short role-play and have teachers practice.,"• Ensures every child can participate fully
• Builds empathy and social cohesion
• Adapts environment to diverse needs and abilities","[""inclusive_play_video"", ""inclusive_play_quiz""]"
749,Health & Safety,diapering safety,2,mcq,What is the best practice for diapering safety?,"Follow the proper steps for diapering safety, ensuring consistency and safety.",Try a random approach to diapering safety without preparation.,Skip diapering safety and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for diapering safety, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for diapering safety? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for diapering safety in a short role-play and have teachers practice.,Consider how this diapering safety strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for diapering safety, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for diapering safety in a short role-play and have teachers practice.,"• Prevents accidents by ensuring hands stay on the child
• Maintains hygiene and prevents diaper-area rashes
• Allows caregiver to focus fully on the child without distraction","[""diapering_safety_video"", ""diapering_safety_quiz""]"
750,Social-Emotional Development,attachment building,4,mcq,What is the best practice for attachment building?,"Follow the proper steps for attachment building, ensuring consistency and safety.",Try a random approach to attachment building without preparation.,Skip attachment building and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for attachment building, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for attachment building? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for attachment building in a short role-play and have teachers practice.,Consider how this attachment building strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for attachment building, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for attachment building in a short role-play and have teachers practice.,"• Creates a secure emotional foundation
• Encourages exploration knowing safety is available
• Builds trust and healthy caregiver-child bonds","[""attachment_building_video"", ""attachment_building_quiz""]"
751,Assessment,formative assessment,5,mcq,What is the best practice for formative assessment?,"Follow the proper steps for formative assessment, ensuring consistency and safety.",Try a random approach to formative assessment without preparation.,Skip formative assessment and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for formative assessment, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for formative assessment? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for formative assessment in a short role-play and have teachers practice.,Consider how this formative assessment strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for formative assessment, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for formative assessment in a short role-play and have teachers practice.,"• Provides ongoing feedback for learners
• Guides instructional adjustments in real time
• Supports individual learning trajectories","[""formative_assessment_video"", ""formative_assessment_quiz""]"
752,Classroom Management,transitions,2,mcq,What is the best practice for transitions?,"Follow the proper steps for transitions, ensuring consistency and safety.",Try a random approach to transitions without preparation.,Skip transitions and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for transitions, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for transitions? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for transitions in a short role-play and have teachers practice.,Consider how this transitions strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for transitions, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for transitions in a short role-play and have teachers practice.,"• Prepares emotions for upcoming change
• Reduces tantrums and resistance
• Builds predictability and self-regulation skills","[""transitions_video"", ""transitions_quiz""]"
